0356A7 (15ED)
036C94 (02C8)
036F5C (0228)
037184 (018F)
037313 (037C)
03768F (01BD)
037ADF (0463)
03E9FE (0B54)
03F552 (023C)
03F78E (0175)
040FD4 (020A)
0411DE (0047)
041225 (0024)
041249 (0B35)
041D7E (07BA)
042538 (1B40)
044078 (1837)
0458AF (171B)
048000 (198E)
04998E (199F)
04B32D (1A1C)
04CD49 (18EF)
04E638 (0582)
04EBBA (0C6A)
04FA34 (01C0)
050000 (1BC6)
051BC6 (07B6)
05237C (0CE8)
053064 (10D7)
05413B (0C81)
054DBC (0AB5)
055871 (05FC)
055E6D (01C6)
056033 (046F)
0564A2 (18D9)
058000 (135C)
05935C (1740)
05AA9C (1261)
05BCFD (09A4)
05C6A1 (11EB)
05D88C (0FE2)
05E86E (15B0)
060000 (18A2)
0618A2 (171D)
062FBF (169F)
06465E (14CF)
065B2D (1990)
0674BD (07FD)
068000 (0CC4)
068CC4 (0FDA)
069C9E (0947)
06A5E5 (0143)
06A728 (15C3)
06BCEB (0613)
06C2FE (060E)
06C90C (0DC7)
06D6D3 (054D)
06DC20 (05F8)
06E218 (0D70)
06EF88 (0AE0)
070000 (0307)
070307 (034A)
070651 (0638)
070C89 (02D2)
070F5B (0629)
071584 (09DA)
071F5E (03ED)
07234B (15AC)
0738F7 (072D)
074024 (1A2A)
075A4E (033A)
075D88 (0B29)
0768B1 (0AB5)
077366 (023C)
0775A2 (05FB)
078000 (1460)
079460 (1830)
07AC90 (1C55)
07C8E5 (0862)
07D147 (1CA3)
07EDEA (0A51)
07F83B (057C)
07FDB7 (015B)
080000 (1C17)
081C17 (1D10)
083927 (1C7B)
0855A2 (1C5C)
0871FE (0533)
087731 (0190)
088000 (1D0E)
089D0E (1AA1)
08B7AF (0BD7)
08C386 (0A64)
08CDEA (118B)
08DF75 (0BB3)
08EB28 (06CB)
090000 (1417)
091417 (13D1)
0927E8 (142E)
093C16 (13D8)
094FEE (161C)
09660A (1840)
098000 (1567)
099567 (169B)
09CC02 (181E)
09E420 (091A)
09ED3A (0114)
09EE4E (0114)
09EF62 (0114)
09F076 (0114)
09F18A (031B)
09F4A5 (004A)
09F4EF (0056)
09F545 (0024)
09F569 (0024)
0A0000 (17F0)
0A17F0 (04A3)
0A1C93 (0BDA)
0A286D (13F5)
0A5C62 (1496)
0A70F8 (09FF)
0A8000 (2477)
0AA477 (0573)
0AA9EA (0114)
0AAAFE (0114)
0AAC12 (0114)
0AAD26 (0108)
0AAE2E (1485)
0AC2B3 (1557)
0AD80A (04CF)
0ADCD9 (16BE)
0B0000 (28FE)
0B28FE (058D)
0B2E8B (006B)
0B2EF6 (010E)
0B3004 (0111)
0B3115 (005F)
0B3174 (04AF)
0B3623 (07EE)
0B3E91 (08C1)
0B5F52 (1573)
0B8000 (18AD)
0B98AD (172D)
0BAFDA (0979)
0BB953 (14FA)
0BCE4D (03C1)
0BD20E (138B)
0BE599 (0E5F)
0C0000 (19A4)
0C19A4 (113F)
0C2AE3 (043D)
0C2F20 (1976)
0C4896 (08C5)
0C515B (0388)
0C54E3 (14FC)
0C69DF (1116)
0C7AF5 (0419)
0C8000 (1AB1)
0C9AB1 (108F)
0CAB40 (044C)
0CAF8C (1B2D)
0CCAB9 (0CC0)
0CD779 (03A7)
0CDB20 (1442)
0CEF62 (0F83)
0D0002 (25EA)
0D25EE (02DA)
0D3CA6 (01DC)
0D408D (0994)
0D69C9 (09B9)
0E0002 (1777)
0E177B (19BF)
0E313C (0CA9)
0E3DE7 (1375)
0E515E (155D)
0E66BD (0EC3)
0F6BD0 (03D5)
0FE855 (175D)
0D0002 (25EA)
